sqft_living,bedrooms,bathrooms,price
775,4,2,682710
1820,5,3,435745
1137,1,2,651196
3150,4,2,511909
2203,2,2,300128
811,5,1,199861
1519,5,1,861331
2239,5,1,811933
1972,3,3,197889
3857,2,1,844067
4070,4,3,209816
3183,4,2,173637
4256,3,2,736436
945,5,3,616642
966,1,3,298705
3202,4,3,833523
3378,1,3,748719
1504,2,1,812862
3839,1,3,587809
2622,5,1,748662
1692,4,2,440902
2056,2,2,651213
2519,3,3,534439
991,1,2,698854
3588,3,1,245943
4184,1,3,263985
1699,3,2,561750
3471,2,3,554676
2898,2,1,848425
3678,4,2,504512
4459,2,3,613908
4116,1,3,693819
3716,1,3,559811
4375,2,1,160047
1949,2,1,577516
4496,2,1,515903
1776,4,3,738220
783,3,3,694666
3597,1,1,720009
3784,3,3,693196
1363,3,1,582770
3861,5,3,339089
890,3,1,434777
912,4,2,461403
2849,5,1,878286
2086,1,1,307526
3198,2,1,151049
1372,5,2,828132
3142,2,1,740633
1761,5,1,397019
4155,4,2,239624
1819,3,2,437967
3744,5,1,832058
1544,2,2,438719
857,1,1,737503
2328,3,3,409615
3048,5,3,327817
4046,1,3,547910
2551,1,3,571668
1973,5,1,660294
3588,2,3,556111
3252,1,1,858037
1364,3,1,786599
2207,1,2,364684
2927,4,3,543764
4194,1,1,846591
3393,2,1,307904
3451,4,3,779269
2072,3,3,364786
1941,1,1,783493
2015,1,2,521741
1775,5,2,254814
692,5,3,664964
1359,4,2,347908
1848,2,1,211140
2285,3,1,772574
3004,5,3,621362
1531,1,1,391711
3129,5,1,637944
3227,3,2,248887
1843,3,3,314374
1081,1,1,351894
1643,4,1,210173
3571,2,3,377736
4188,1,2,743926
1387,4,2,899212
633,2,3,381288
3795,3,3,664692
1910,1,3,166878
4369,2,1,362071
3389,4,3,803368
2465,4,3,176819
1589,5,2,264387
2601,4,1,704078
2519,2,3,756480
2039,5,1,299373
1754,4,2,857906
1707,5,1,672314
1002,1,3,708856
2669,2,3,454621
2255,3,1,412786
4251,3,3,877211
2851,1,1,185359
2578,5,1,409142
647,4,1,488400
1384,2,1,202903
3172,1,1,840558
949,5,3,593027
2755,2,2,578263
4417,1,1,455048
993,3,1,588443
1444,5,3,681173
2459,5,2,201285
1222,5,1,263204
1254,5,2,457579
1236,4,2,457850
876,2,2,777642
909,3,1,840936
2644,1,2,231555
2535,3,2,534661
1427,2,3,796491
2683,3,3,471748
2440,1,2,342003
2908,3,3,435978
2435,5,1,829529
3104,3,2,396550
2098,5,2,540237
2386,1,3,370698
4238,4,1,635461
4227,4,2,568249
3655,1,3,763211
3887,5,1,662322
1573,1,3,649559
3082,2,3,449607
639,5,3,356910
1755,3,2,826726
4085,2,2,742331
2532,2,3,832478
1060,4,1,590594
3495,5,1,562447
4469,1,1,189648
4320,4,1,326636
1166,5,3,789594
1278,1,2,325012
973,5,3,351103
3358,2,2,192697
4333,3,3,757779
644,4,3,519296
3635,4,3,889633
1247,5,3,769680
4393,1,1,200828
2626,4,2,587771
1095,4,1,209549
797,3,2,283795
2748,4,3,748032
3852,2,3,283549
1601,2,1,711144
769,1,1,676195
629,5,1,249490
2930,3,2,652324
2456,3,2,663738
4436,4,2,759371
2838,4,1,679529
1326,2,2,601253
2362,3,1,653569
3684,1,3,264631
1246,1,1,163334
4160,1,3,435999
2554,5,3,392172
1043,2,2,612939
706,3,1,324041
4294,4,1,550910
2508,5,3,530493
3145,1,2,495897
1973,3,3,686038
1086,2,3,409540
1858,4,1,769678
3177,2,2,868439
3677,1,2,545540
3495,2,2,347968
649,4,2,684873
2062,4,3,268917
1956,4,3,753319
2241,3,3,404177
1600,5,1,604877
1588,3,2,460264
782,1,3,339934
2311,3,2,402208
3069,5,3,344599
3247,2,2,321243
2285,1,1,818976
3932,3,1,758825
3123,1,3,400536
3236,3,3,267825
833,3,3,248901
2979,5,3,591563
3422,4,2,377369
2873,2,2,833228
1069,5,1,798801
685,5,2,459516
